"product_name","total_sales","total_profit"
"Cisco TelePresence System EX90 Videoconferencing Unit","22638.48","-1811.08"
"GBC DocuBind P400 Electric Binding System","17965.07","-1878.17"
"High Speed Automatic Electric Letter Opener","17030.31","-262.00"
"Lexmark MX611dhe Monochrome Laser Printer","16829.90","-4589.97"
"Martin Yale Chadless Opener Electric Letter Opener","16656.21","-1299.19"
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","15610.97","-669.53"
"Bretford Rectangular Conference Table Tops","12995.28","-327.25"
"Cubify CubeX 3D Printer Double Head Print","11099.96","-8879.97"
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","9917.64","-2876.11"
"Bush Advantage Collection Racetrack Conference Table","9544.72","-1934.40"
